term	gene
TRNA_PROCESSING	ADAT1
TRNA_PROCESSING	TRNT1
TRNA_PROCESSING	FARS2
TRNA_PROCESSING	METTL1
TRNA_PROCESSING	SARS
TRNA_PROCESSING	AARS
TRNA_PROCESSING	THG1L
TRNA_PROCESSING	SSB
TRNA_PROCESSING	POP4
TRNA_PROCESSING	NSUN2
REGULATION_OF_BIOLOGICAL_QUALITY	DLC1
REGULATION_OF_BIOLOGICAL_QUALITY	ALS2
REGULATION_OF_BIOLOGICAL_QUALITY	SLC9A7
REGULATION_OF_BIOLOGICAL_QUALITY	PTGS2
REGULATION_OF_BIOLOGICAL_QUALITY	PTGS1
REGULATION_OF_BIOLOGICAL_QUALITY	MPV17
REGULATION_OF_BIOLOGICAL_QUALITY	SGMS1
REGULATION_OF_BIOLOGICAL_QUALITY	AGTR1
REGULATION_OF_BIOLOGICAL_QUALITY	AGTR2
REGULATION_OF_BIOLOGICAL_QUALITY	APP
REGULATION_OF_BIOLOGICAL_QUALITY	FLI1
REGULATION_OF_BIOLOGICAL_QUALITY	SERPINE1
REGULATION_OF_BIOLOGICAL_QUALITY	CDH23
REGULATION_OF_BIOLOGICAL_QUALITY	L3MBTL4
REGULATION_OF_BIOLOGICAL_QUALITY	NOP58
REGULATION_OF_BIOLOGICAL_QUALITY	F8
REGULATION_OF_BIOLOGICAL_QUALITY	F9
REGULATION_OF_BIOLOGICAL_QUALITY	MYH7
REGULATION_OF_BIOLOGICAL_QUALITY	MYH6
REGULATION_OF_BIOLOGICAL_QUALITY	F7
REGULATION_OF_BIOLOGICAL_QUALITY	MYH9
REGULATION_OF_BIOLOGICAL_QUALITY	THY1
REGULATION_OF_BIOLOGICAL_QUALITY	NPC1
REGULATION_OF_BIOLOGICAL_QUALITY	NPC2
REGULATION_OF_BIOLOGICAL_QUALITY	RPS19
REGULATION_OF_BIOLOGICAL_QUALITY	HNF4A
REGULATION_OF_BIOLOGICAL_QUALITY	F5
REGULATION_OF_BIOLOGICAL_QUALITY	F2
REGULATION_OF_BIOLOGICAL_QUALITY	TFPI
REGULATION_OF_BIOLOGICAL_QUALITY	GGCX
REGULATION_OF_BIOLOGICAL_QUALITY	DCBLD2
REGULATION_OF_BIOLOGICAL_QUALITY	PABPC4
REGULATION_OF_BIOLOGICAL_QUALITY	HFE
REGULATION_OF_BIOLOGICAL_QUALITY	CDHR2
REGULATION_OF_BIOLOGICAL_QUALITY	PPT1
REGULATION_OF_BIOLOGICAL_QUALITY	ARF6
REGULATION_OF_BIOLOGICAL_QUALITY	BCL2L1
REGULATION_OF_BIOLOGICAL_QUALITY	NPHP3
REGULATION_OF_BIOLOGICAL_QUALITY	CDC42EP2
REGULATION_OF_BIOLOGICAL_QUALITY	CDC42EP1
REGULATION_OF_BIOLOGICAL_QUALITY	ARAP1
REGULATION_OF_BIOLOGICAL_QUALITY	ARAP3
REGULATION_OF_BIOLOGICAL_QUALITY	PABPC1
REGULATION_OF_BIOLOGICAL_QUALITY	CDC42EP4
REGULATION_OF_BIOLOGICAL_QUALITY	CDC42EP5
REGULATION_OF_BIOLOGICAL_QUALITY	NTF4
REGULATION_OF_BIOLOGICAL_QUALITY	TAOK2
REGULATION_OF_BIOLOGICAL_QUALITY	PAIP1
REGULATION_OF_BIOLOGICAL_QUALITY	SPHK1
REGULATION_OF_BIOLOGICAL_QUALITY	PCDH15
REGULATION_OF_BIOLOGICAL_QUALITY	RPS6
REGULATION_OF_BIOLOGICAL_QUALITY	RERG
REGULATION_OF_BIOLOGICAL_QUALITY	AVPR1B
REGULATION_OF_BIOLOGICAL_QUALITY	AVPR1A
REGULATION_OF_BIOLOGICAL_QUALITY	SLC9A1
REGULATION_OF_BIOLOGICAL_QUALITY	LIMA1
REGULATION_OF_BIOLOGICAL_QUALITY	HNF1A
REGULATION_OF_BIOLOGICAL_QUALITY	GLRA1
REGULATION_OF_BIOLOGICAL_QUALITY	USH1G
REGULATION_OF_BIOLOGICAL_QUALITY	SPI1
REGULATION_OF_BIOLOGICAL_QUALITY	BNIP3
REGULATION_OF_BIOLOGICAL_QUALITY	ZNF675
REGULATION_OF_BIOLOGICAL_QUALITY	LATS1
REGULATION_OF_BIOLOGICAL_QUALITY	DFNB31
REGULATION_OF_BIOLOGICAL_QUALITY	NMUR2
REGULATION_OF_BIOLOGICAL_QUALITY	SLC22A4
REGULATION_OF_BIOLOGICAL_QUALITY	SERTAD3
REGULATION_OF_BIOLOGICAL_QUALITY	TRPV4
REGULATION_OF_BIOLOGICAL_QUALITY	CETP
REGULATION_OF_BIOLOGICAL_QUALITY	MYC
REGULATION_OF_BIOLOGICAL_QUALITY	SLC22A2
REGULATION_OF_BIOLOGICAL_QUALITY	USH2A
REGULATION_OF_BIOLOGICAL_QUALITY	SERTAD2
REGULATION_OF_BIOLOGICAL_QUALITY	CLN3
REGULATION_OF_BIOLOGICAL_QUALITY	AIFM3
REGULATION_OF_BIOLOGICAL_QUALITY	LYN
REGULATION_OF_BIOLOGICAL_QUALITY	TP53
REGULATION_OF_BIOLOGICAL_QUALITY	NDUFA13
REGULATION_OF_BIOLOGICAL_QUALITY	WAS
REGULATION_OF_BIOLOGICAL_QUALITY	GPR98
REGULATION_OF_BIOLOGICAL_QUALITY	NCK2
REGULATION_OF_BIOLOGICAL_QUALITY	INHBA
REGULATION_OF_BIOLOGICAL_QUALITY	GNAQ
REGULATION_OF_BIOLOGICAL_QUALITY	NCK1
REGULATION_OF_BIOLOGICAL_QUALITY	USH1C
REGULATION_OF_BIOLOGICAL_QUALITY	GNB3
REGULATION_OF_BIOLOGICAL_QUALITY	TMSB4Y
REGULATION_OF_BIOLOGICAL_QUALITY	CLN5
REGULATION_OF_BIOLOGICAL_QUALITY	CLN6
REGULATION_OF_BIOLOGICAL_QUALITY	ALOX12
REGULATION_OF_BIOLOGICAL_QUALITY	TFR2
REGULATION_OF_BIOLOGICAL_QUALITY	PML
REGULATION_OF_BIOLOGICAL_QUALITY	MAGI2-IT1
REGULATION_OF_BIOLOGICAL_QUALITY	CCL23
REGULATION_OF_BIOLOGICAL_QUALITY	PCSK9
REGULATION_OF_BIOLOGICAL_QUALITY	RASA1
REGULATION_OF_BIOLOGICAL_QUALITY	IL6
REGULATION_OF_BIOLOGICAL_QUALITY	OPRL1
REGULATION_OF_BIOLOGICAL_QUALITY	IL7
REGULATION_OF_BIOLOGICAL_QUALITY	CCL19
REGULATION_OF_BIOLOGICAL_QUALITY	CCL15
REGULATION_OF_BIOLOGICAL_QUALITY	TMPRSS6
REGULATION_OF_BIOLOGICAL_QUALITY	PLG
REGULATION_OF_BIOLOGICAL_QUALITY	TMPRSS3
REGULATION_OF_BIOLOGICAL_QUALITY	SELS
REGULATION_OF_BIOLOGICAL_QUALITY	CCL11
REGULATION_OF_BIOLOGICAL_QUALITY	CCL13
REGULATION_OF_BIOLOGICAL_QUALITY	CCL14
REGULATION_OF_BIOLOGICAL_QUALITY	LARGE
REGULATION_OF_BIOLOGICAL_QUALITY	MT2A
REGULATION_OF_BIOLOGICAL_QUALITY	NARFL
REGULATION_OF_BIOLOGICAL_QUALITY	MC4R
REGULATION_OF_BIOLOGICAL_QUALITY	CP
REGULATION_OF_BIOLOGICAL_QUALITY	IL2
REGULATION_OF_BIOLOGICAL_QUALITY	BARD1
REGULATION_OF_BIOLOGICAL_QUALITY	BMP10
REGULATION_OF_BIOLOGICAL_QUALITY	GNA15
REGULATION_OF_BIOLOGICAL_QUALITY	GRIK2
REGULATION_OF_BIOLOGICAL_QUALITY	ATP6AP2
REGULATION_OF_BIOLOGICAL_QUALITY	ATOX1
REGULATION_OF_BIOLOGICAL_QUALITY	GNA12
REGULATION_OF_BIOLOGICAL_QUALITY	OSGIN1
REGULATION_OF_BIOLOGICAL_QUALITY	CXCL12
REGULATION_OF_BIOLOGICAL_QUALITY	TGFB1
REGULATION_OF_BIOLOGICAL_QUALITY	TGFB2
REGULATION_OF_BIOLOGICAL_QUALITY	APOA4
REGULATION_OF_BIOLOGICAL_QUALITY	APOA2
REGULATION_OF_BIOLOGICAL_QUALITY	APOA1
REGULATION_OF_BIOLOGICAL_QUALITY	CDKN2A
REGULATION_OF_BIOLOGICAL_QUALITY	SLC2A4
REGULATION_OF_BIOLOGICAL_QUALITY	CDKN2C
REGULATION_OF_BIOLOGICAL_QUALITY	CDKN2D
REGULATION_OF_BIOLOGICAL_QUALITY	APOA5
REGULATION_OF_BIOLOGICAL_QUALITY	GALR2
REGULATION_OF_BIOLOGICAL_QUALITY	RGN
REGULATION_OF_BIOLOGICAL_QUALITY	S1PR3
REGULATION_OF_BIOLOGICAL_QUALITY	BUD31
REGULATION_OF_BIOLOGICAL_QUALITY	LPAR2
REGULATION_OF_BIOLOGICAL_QUALITY	LPAR3
REGULATION_OF_BIOLOGICAL_QUALITY	S1PR4
REGULATION_OF_BIOLOGICAL_QUALITY	BCL10
REGULATION_OF_BIOLOGICAL_QUALITY	KCND2
REGULATION_OF_BIOLOGICAL_QUALITY	BAIAP3
REGULATION_OF_BIOLOGICAL_QUALITY	SLC34A1
REGULATION_OF_BIOLOGICAL_QUALITY	SLC34A3
REGULATION_OF_BIOLOGICAL_QUALITY	DDIT3
REGULATION_OF_BIOLOGICAL_QUALITY	RENBP
REGULATION_OF_BIOLOGICAL_QUALITY	HIF1A
REGULATION_OF_BIOLOGICAL_QUALITY	EP300
REGULATION_OF_BIOLOGICAL_QUALITY	THBD
REGULATION_OF_BIOLOGICAL_QUALITY	SLC40A1
REGULATION_OF_BIOLOGICAL_QUALITY	XRN2
REGULATION_OF_BIOLOGICAL_QUALITY	FGD2
REGULATION_OF_BIOLOGICAL_QUALITY	CCL1
REGULATION_OF_BIOLOGICAL_QUALITY	C3AR1
REGULATION_OF_BIOLOGICAL_QUALITY	FGD1
REGULATION_OF_BIOLOGICAL_QUALITY	CCL3
REGULATION_OF_BIOLOGICAL_QUALITY	DRD1
REGULATION_OF_BIOLOGICAL_QUALITY	CCL2
REGULATION_OF_BIOLOGICAL_QUALITY	CYSLTR1
REGULATION_OF_BIOLOGICAL_QUALITY	ADORA2A
REGULATION_OF_BIOLOGICAL_QUALITY	ABCA2
REGULATION_OF_BIOLOGICAL_QUALITY	ABCA1
REGULATION_OF_BIOLOGICAL_QUALITY	CCL5
REGULATION_OF_BIOLOGICAL_QUALITY	CCL7
REGULATION_OF_BIOLOGICAL_QUALITY	P2RY4
REGULATION_OF_BIOLOGICAL_QUALITY	P2RY2
REGULATION_OF_BIOLOGICAL_QUALITY	DYRK3
REGULATION_OF_BIOLOGICAL_QUALITY	FGD5
REGULATION_OF_BIOLOGICAL_QUALITY	ANGPTL3
REGULATION_OF_BIOLOGICAL_QUALITY	FGD6
REGULATION_OF_BIOLOGICAL_QUALITY	FGD4
REGULATION_OF_BIOLOGICAL_QUALITY	SNAPIN
REGULATION_OF_BIOLOGICAL_QUALITY	ATP7A
REGULATION_OF_BIOLOGICAL_QUALITY	CDKN1A
REGULATION_OF_BIOLOGICAL_QUALITY	CDKN1B
REGULATION_OF_BIOLOGICAL_QUALITY	CXCL13
REGULATION_OF_BIOLOGICAL_QUALITY	CDKN2AIP
REGULATION_OF_BIOLOGICAL_QUALITY	XCL1
REGULATION_OF_BIOLOGICAL_QUALITY	CACNA1C
REGULATION_OF_BIOLOGICAL_QUALITY	CACNA1A
REGULATION_OF_BIOLOGICAL_QUALITY	ATP7B
REGULATION_OF_BIOLOGICAL_QUALITY	CORIN
REGULATION_OF_BIOLOGICAL_QUALITY	PEX6
REGULATION_OF_BIOLOGICAL_QUALITY	MBP
REGULATION_OF_BIOLOGICAL_QUALITY	SLC1A3
REGULATION_OF_BIOLOGICAL_QUALITY	ALAS2
REGULATION_OF_BIOLOGICAL_QUALITY	NDUFS3
REGULATION_OF_BIOLOGICAL_QUALITY	AKR1C1
REGULATION_OF_BIOLOGICAL_QUALITY	NDUFS1
REGULATION_OF_BIOLOGICAL_QUALITY	IP6K2
REGULATION_OF_BIOLOGICAL_QUALITY	KNG1
REGULATION_OF_BIOLOGICAL_QUALITY	CDK6
REGULATION_OF_BIOLOGICAL_QUALITY	RB1
REGULATION_OF_BIOLOGICAL_QUALITY	TARBP2
REGULATION_OF_BIOLOGICAL_QUALITY	CHGA
REGULATION_OF_BIOLOGICAL_QUALITY	LCK
REGULATION_OF_BIOLOGICAL_QUALITY	CNTN4
REGULATION_OF_BIOLOGICAL_QUALITY	UBB
REGULATION_OF_BIOLOGICAL_QUALITY	ALDH9A1
REGULATION_OF_BIOLOGICAL_QUALITY	VIP
REGULATION_OF_BIOLOGICAL_QUALITY	TAC1
REGULATION_OF_BIOLOGICAL_QUALITY	EGLN2
REGULATION_OF_BIOLOGICAL_QUALITY	PF4
REGULATION_OF_BIOLOGICAL_QUALITY	EGLN1
REGULATION_OF_BIOLOGICAL_QUALITY	CD9
REGULATION_OF_BIOLOGICAL_QUALITY	TSPYL2
REGULATION_OF_BIOLOGICAL_QUALITY	A1CF
REGULATION_OF_BIOLOGICAL_QUALITY	HRH3
REGULATION_OF_BIOLOGICAL_QUALITY	PRSS2
REGULATION_OF_BIOLOGICAL_QUALITY	REN
REGULATION_OF_BIOLOGICAL_QUALITY	GCHFR
REGULATION_OF_BIOLOGICAL_QUALITY	GUCA1B
REGULATION_OF_BIOLOGICAL_QUALITY	COL4A4
REGULATION_OF_BIOLOGICAL_QUALITY	PLP1
REGULATION_OF_BIOLOGICAL_QUALITY	KLK8
REGULATION_OF_BIOLOGICAL_QUALITY	CEBPG
REGULATION_OF_BIOLOGICAL_QUALITY	SLC12A4
REGULATION_OF_BIOLOGICAL_QUALITY	NF1
REGULATION_OF_BIOLOGICAL_QUALITY	MAL
REGULATION_OF_BIOLOGICAL_QUALITY	C4BPB
REGULATION_OF_BIOLOGICAL_QUALITY	LEP
REGULATION_OF_BIOLOGICAL_QUALITY	RDH12
REGULATION_OF_BIOLOGICAL_QUALITY	PPP1R9B
REGULATION_OF_BIOLOGICAL_QUALITY	GCK
REGULATION_OF_BIOLOGICAL_QUALITY	BAX
REGULATION_OF_BIOLOGICAL_QUALITY	SYT1
REGULATION_OF_BIOLOGICAL_QUALITY	UTS2
REGULATION_OF_BIOLOGICAL_QUALITY	AURKA
REGULATION_OF_BIOLOGICAL_QUALITY	CD52
REGULATION_OF_BIOLOGICAL_QUALITY	BAK1
REGULATION_OF_BIOLOGICAL_QUALITY	APOE
REGULATION_OF_BIOLOGICAL_QUALITY	LCAT
REGULATION_OF_BIOLOGICAL_QUALITY	CHRNA7
REGULATION_OF_BIOLOGICAL_QUALITY	ERAP2
REGULATION_OF_BIOLOGICAL_QUALITY	CHRNA1
REGULATION_OF_BIOLOGICAL_QUALITY	EIF2B2
REGULATION_OF_BIOLOGICAL_QUALITY	EIF2B4
REGULATION_OF_BIOLOGICAL_QUALITY	EIF2B5
REGULATION_OF_BIOLOGICAL_QUALITY	FTL
REGULATION_OF_BIOLOGICAL_QUALITY	F12
REGULATION_OF_BIOLOGICAL_QUALITY	CLRN1
REGULATION_OF_BIOLOGICAL_QUALITY	GTPBP4
REGULATION_OF_BIOLOGICAL_QUALITY	C5AR1
REGULATION_OF_BIOLOGICAL_QUALITY	F10
REGULATION_OF_BIOLOGICAL_QUALITY	PPARGC1A
REGULATION_OF_BIOLOGICAL_QUALITY	CCR9
REGULATION_OF_BIOLOGICAL_QUALITY	ERP44
REGULATION_OF_BIOLOGICAL_QUALITY	CCR8
REGULATION_OF_BIOLOGICAL_QUALITY	CCR7
REGULATION_OF_BIOLOGICAL_QUALITY	CCR6
REGULATION_OF_BIOLOGICAL_QUALITY	CD36
REGULATION_OF_BIOLOGICAL_QUALITY	CCR5
REGULATION_OF_BIOLOGICAL_QUALITY	COLQ
REGULATION_OF_BIOLOGICAL_QUALITY	RHCG
REGULATION_OF_BIOLOGICAL_QUALITY	CCR4
REGULATION_OF_BIOLOGICAL_QUALITY	CD40LG
REGULATION_OF_BIOLOGICAL_QUALITY	ATP2C1
REGULATION_OF_BIOLOGICAL_QUALITY	CCR3
REGULATION_OF_BIOLOGICAL_QUALITY	TBRG1
REGULATION_OF_BIOLOGICAL_QUALITY	CCR2
REGULATION_OF_BIOLOGICAL_QUALITY	NPTN
REGULATION_OF_BIOLOGICAL_QUALITY	STC1
REGULATION_OF_BIOLOGICAL_QUALITY	BIN3
REGULATION_OF_BIOLOGICAL_QUALITY	IQCB1
REGULATION_OF_BIOLOGICAL_QUALITY	KCNMB3
REGULATION_OF_BIOLOGICAL_QUALITY	KCNMB4
REGULATION_OF_BIOLOGICAL_QUALITY	CLCN3
REGULATION_OF_BIOLOGICAL_QUALITY	KEL
REGULATION_OF_BIOLOGICAL_QUALITY	BDKRB1
REGULATION_OF_BIOLOGICAL_QUALITY	BDKRB2
REGULATION_OF_BIOLOGICAL_QUALITY	CALR
REGULATION_OF_BIOLOGICAL_QUALITY	RIMS1
REGULATION_OF_BIOLOGICAL_QUALITY	KCNMB2
REGULATION_OF_BIOLOGICAL_QUALITY	F13B
REGULATION_OF_BIOLOGICAL_QUALITY	ACE
REGULATION_OF_BIOLOGICAL_QUALITY	STX12
REGULATION_OF_BIOLOGICAL_QUALITY	CDA
REGULATION_OF_BIOLOGICAL_QUALITY	FBXO7
REGULATION_OF_BIOLOGICAL_QUALITY	PLAT
REGULATION_OF_BIOLOGICAL_QUALITY	SMAD4
REGULATION_OF_BIOLOGICAL_QUALITY	SMAD3
REGULATION_OF_BIOLOGICAL_QUALITY	ABCG1
REGULATION_OF_BIOLOGICAL_QUALITY	NOTCH2
REGULATION_OF_BIOLOGICAL_QUALITY	CEL
REGULATION_OF_BIOLOGICAL_QUALITY	CD55
REGULATION_OF_BIOLOGICAL_QUALITY	NPY
REGULATION_OF_BIOLOGICAL_QUALITY	ETS1
REGULATION_OF_BIOLOGICAL_QUALITY	CD59
REGULATION_OF_BIOLOGICAL_QUALITY	GHSR
REGULATION_OF_BIOLOGICAL_QUALITY	GRK1
