reaction,name,lower_bound,type,formula
R_EX_arg_L_e_,L-Arginine,-1,AminoAcid,C6H15N4O2
R_EX_ala_L_e_,L-Alanine,-0.1,AminoAcid,C3H7NO2
R_EX_asn_L_e_,L-Asparagine,-0.1,AminoAcid,C4H8N2O3
R_EX_asp_L_e_,L-Aspartate,-0.1,AminoAcid,C4H6NO4
R_EX_Lcystin_e_,L-Cystine,-0.1,AminoAcid,C6H12N2O4S2
R_EX_glu_L_e_,L-Glutamate,-0.1,AminoAcid,C5H8NO4
R_EX_gly_e_,Glycine,-0.1,AminoAcid,C2H5NO2
R_EX_his_L_e_,L-Histidine,-0.1,AminoAcid,C6H9N3O2
R_EX_ile_L_e_,L-Isoleucine,-0.1,AminoAcid,C6H13NO2
R_EX_leu_L_e_,L-Leucine,-0.1,AminoAcid,C6H13NO2
R_EX_lys_L_e_,L-Lysine,-0.1,AminoAcid,C6H15N2O2
R_EX_met_L_e_,L-Methionine,-0.1,AminoAcid,C5H11NO2S
R_EX_phe_L_e_,L-Phenylalanine,-0.1,AminoAcid,C9H11NO2
R_EX_pro_L_e_,L-Proline,-0.1,AminoAcid,C5H9NO2
R_EX_ser_L_e_,L-Serine,-0.1,AminoAcid,C3H7NO3
R_EX_thr_L_e_,L-Threonine,-0.1,AminoAcid,C4H9NO3
R_EX_tyr_L_e_,L-Tyrosine,-0.1,AminoAcid,C9H11NO3
R_EX_val_L_e_,L-Valine,-0.1,AminoAcid,C5H11NO2
R_EX_trp_L_e_,L-Tryptophan,-0.01,AminoAcid,C11H12N2O2
R_EX_inost_e_,myo-Inositol,-0.1,Vitamins,C6H12O6
R_EX_chol_e_,Choline,-0.01,Vitamins,C5H14NO
R_EX_fol_e_,Folate,-0.01,Vitamins,C19H18N7O6
R_EX_ncam_e_,Nicotinamide,-0.01,Vitamins,C6H6N2O
R_EX_pydx_e_,Pyridoxal,-0.01,Vitamins,C8H9NO3
R_EX_thm_e_,Thiamin,-0.01,Vitamins,C12H17N4OS
R_EX_btn_e_,Biotin,-0.001,Vitamins,C10H15N2O3S
R_EX_pnto_R_e_,(R)-Pantothenate,-0.001,Vitamins,C9H16NO5
R_EX_ribflv_e_,Riboflavin,-0.001,Vitamins,C17H20N4O6
R_EX_na1_e_,Sodium,-100,Minerals,Na
R_EX_cl_e_,Chloride,-100,Minerals,Cl
R_EX_ca2_e_,Calcium,-1,Minerals,Ca
R_EX_k_e_,Potassium,-1,Minerals,K
R_EX_pi_e_,Phosphate,-1,Minerals,HO4P
R_EX_h2o_e_,H2O,-1,Minerals,H2O
R_EX_cmp_e_,CMP,-0.000001,Nucleotides,C9H12N3O8P
R_EX_ump_e_,UMP,-0.000001,Nucleotides,C9H11N2O9P
R_EX_ade_e_,Adenine,-0.00001,Nucleotides,C5H5N5
R_EX_amp_e_,AMP,-0.00001,Nucleotides,C10H12N5O7P
